ar	Arabic	EH	0:00:27.705129	done	2020-08-24 15:29:55.731300
ar	Arabic	DZ	0:00:43.498369	done	2020-08-24 15:30:39.231807
ar	Arabic	YE	0:01:17.681959	done	2020-08-24 15:31:56.916402
ar	Arabic	LB	0:00:42.480851	done	2020-08-24 15:32:39.399531
ar	Arabic	SO	0:00:34.719673	done	2020-08-24 15:33:14.121299
ar	Arabic	SY	0:00:51.413318	done	2020-08-24 15:34:05.536690
ar	Arabic	MA	0:01:25.796163	done	2020-08-24 15:35:31.335139
ar	Arabic	SS	0:00:29.664189	done	2020-08-24 15:36:01.001521
ar	Arabic	TN	0:00:43.294871	done	2020-08-24 15:36:44.298450
ar	Arabic	KW	0:00:35.554450	done	2020-08-24 15:37:19.855565
ar	Arabic	IL	0:00:40.028916	done	2020-08-24 15:37:59.886848
ar	Arabic	DJ	0:00:29.706816	done	2020-08-24 15:38:29.595869
ar	Arabic	BH	0:00:35.144107	done	2020-08-24 15:39:04.742549
ar	Arabic	TD	0:00:37.211013	done	2020-08-24 15:39:41.956195
ar	Arabic	SA	0:00:48.209103	done	2020-08-24 15:40:30.167291
ar	Arabic	EG	0:01:04.528405	done	2020-08-24 15:41:34.697896
ar	Arabic	PS	0:00:42.763270	done	2020-08-24 15:42:17.463814
ar	Arabic	CY	0:00:27.513419	done	2020-08-24 15:42:44.979704
ar	Arabic	OM	0:00:36.869977	done	2020-08-24 15:43:21.851935
ar	Arabic	UZ	0:00:27.558422	done	2020-08-24 15:43:49.412549
ar	Arabic	TR	0:00:28.154310	done	2020-08-24 15:44:17.569457
ar	Arabic	QA	0:00:38.986406	done	2020-08-24 15:44:56.558242
ar	Arabic	ER	0:00:34.982181	done	2020-08-24 15:45:31.543877
ar	Arabic	SD	0:00:43.641504	done	2020-08-24 15:46:15.187656
ar	Arabic	JO	0:00:42.578236	done	2020-08-24 15:46:57.768848
ar	Arabic		0:05:35.870504	done	2020-08-24 15:52:33.641570
arc	Aramaic	IQ	0:00:01.344945	done	2020-08-24 15:52:35.361953
arc	Aramaic	IL	0:00:01.438022	done	2020-08-24 15:52:36.802242
arc	Aramaic		0:00:01.570871	done	2020-08-24 15:52:38.375021
arz	Egyptian Arabic	EG	0:00:33.038507	done	2020-08-24 15:53:14.649629
arz	Egyptian Arabic		0:00:34.716585	done	2020-08-24 15:53:49.368452
as	Assamese	IN	0:00:03.466004	done	2020-08-24 15:53:53.012322
as	Assamese		0:00:04.168391	done	2020-08-24 15:53:57.182800
ast	Asturian	ES	0:00:07.867026	done	2020-08-24 15:54:05.528254
ast	Asturian		0:00:08.368846	done	2020-08-24 15:54:13.899896
atj	Atikamekw	CA	0:00:01.784909	done	2020-08-24 15:54:15.727233
atj	Atikamekw		0:00:01.871106	done	2020-08-24 15:54:17.600694
av	Avar	RU	0:00:02.507272	done	2020-08-24 15:54:20.135465
av	Avar	GE	0:00:01.625806	done	2020-08-24 15:54:21.763893
av	Avar	AZ	0:00:00.777133	done	2020-08-24 15:54:22.543499
av	Avar		0:00:02.384114	done	2020-08-24 15:54:24.929931
ay	Aymara	CL	0:00:01.377414	done	2020-08-24 15:54:26.336272
ay	Aymara	PE	0:00:02.075922	done	2020-08-24 15:54:28.414374
ay	Aymara	BO	0:00:02.305357	done	2020-08-24 15:54:30.721988
ay	Aymara		0:00:03.097397	done	2020-08-24 15:54:33.822118
az	Azerbaijani	GE	0:00:05.669170	done	2020-08-24 15:54:40.244590
az	Azerbaijani	TR	0:00:04.757856	done	2020-08-24 15:54:45.005533
az	Azerbaijani	AZ	0:00:24.017102	done	2020-08-24 15:55:09.025028
az	Azerbaijani		0:00:26.316871	done	2020-08-24 15:55:35.344192
azb	South Azerbaijani	IR	0:00:09.939532	done	2020-08-24 15:55:46.352973
azb	South Azerbaijani		0:00:10.660642	done	2020-08-24 15:55:57.016390
ba	Bashkir language	RU	0:00:15.939174	done	2020-08-24 15:56:13.267331
ba	Bashkir language		0:00:14.715109	done	2020-08-24 15:56:27.985874
bar	Bavarian language	AT	0:00:03.795530	done	2020-08-24 15:56:31.912894
bar	Bavarian language	DE	0:00:06.760582	done	2020-08-24 15:56:38.676027
bar	Bavarian language	IT	0:00:02.226298	done	2020-08-24 15:56:40.905051
bar	Bavarian language		0:00:07.669179	done	2020-08-24 15:56:48.576840
bat_smg	Samogitian	LT	0:00:15.837749	done	2020-08-24 15:57:04.497656
bat_smg	Samogitian		0:00:14.572200	done	2020-08-24 15:57:19.072150
bcl	Central Bikol	PH	0:00:03.758702	done	2020-08-24 15:57:22.885692
bcl	Central Bikol		0:00:03.753207	done	2020-08-24 15:57:26.641155
be	Belarusian	BY	0:01:01.538558	done	2020-08-24 15:58:29.102566
be	Belarusian		0:01:02.391513	done	2020-08-24 15:59:31.496696
be_x_old	Taraškievica	BY	0:00:30.710427	done	2020-08-24 16:00:02.592801
be_x_old	Taraškievica		0:00:30.169633	done	2020-08-24 16:00:32.764958
bg	Bulgarian	BG	0:01:04.930617	done	2020-08-24 16:01:39.005838
bg	Bulgarian	GR	0:00:06.535450	done	2020-08-24 16:01:45.544748
bg	Bulgarian	TR	0:00:07.880570	done	2020-08-24 16:01:53.427950
bg	Bulgarian	RS	0:00:05.334744	done	2020-08-24 16:01:58.765633
bg	Bulgarian		0:01:14.754207	done	2020-08-24 16:03:13.522221
bh	Bihari languages	NP	0:00:01.556978	done	2020-08-24 16:03:15.192221
bh	Bihari languages	IN	0:00:04.440218	done	2020-08-24 16:03:19.634815
bh	Bihari languages		0:00:04.620176	done	2020-08-24 16:03:24.257490
bi	Bislama	VU	0:00:01.507836	done	2020-08-24 16:03:25.788565
bi	Bislama		0:00:01.503042	done	2020-08-24 16:03:27.293859
bjn	Banjar	ID	0:00:02.840219	done	2020-08-24 16:03:30.158049
bjn	Banjar		0:00:02.888928	done	2020-08-24 16:03:33.048866
bm	Bambara	ML	0:00:01.584218	done	2020-08-24 16:03:34.653060
bm	Bambara		0:00:01.566446	done	2020-08-24 16:03:36.221528
bn	Bengali	BD	0:00:20.883096	done	2020-08-24 16:03:57.524217
bn	Bengali	IN	0:00:08.617418	done	2020-08-24 16:04:06.143678
bn	Bengali		0:00:25.817800	done	2020-08-24 16:04:31.963457
bo	Tibetan	CN	0:00:02.166190	done	2020-08-24 16:04:34.189152
bo	Tibetan	IN	0:00:01.464576	done	2020-08-24 16:04:35.655727
bo	Tibetan		0:00:02.365082	done	2020-08-24 16:04:38.022989
bpy	Bishnupriya Manipuri	BD	0:00:02.649044	done	2020-08-24 16:04:40.769889
bpy	Bishnupriya Manipuri	IN	0:00:02.010095	done	2020-08-24 16:04:42.782119
bpy	Bishnupriya Manipuri		0:00:03.329244	done	2020-08-24 16:04:46.114032
br	Breton	FR	0:00:07.109272	done	2020-08-24 16:04:53.441699
br	Breton		0:00:07.838398	done	2020-08-24 16:05:01.282226
bs	Bosnian	BA	0:00:09.950724	done	2020-08-24 16:05:11.631466
bs	Bosnian		0:00:09.667532	done	2020-08-24 16:05:21.301214
bug	Buginese	ID	0:00:01.790385	done	2020-08-24 16:05:23.164355
bug	Buginese		0:00:01.858423	done	2020-08-24 16:05:25.024799
bxr	Buryat	RU	0:00:01.541875	done	2020-08-24 16:05:26.591018
bxr	Buryat	CN	0:00:01.214791	done	2020-08-24 16:05:27.808678
bxr	Buryat		0:00:01.619087	done	2020-08-24 16:05:29.429882
ca	Catalan	AD	0:00:20.644966	done	2020-08-24 16:05:53.498540
ca	Catalan	ES	0:02:28.434335	done	2020-08-24 16:08:21.935246
ca	Catalan		0:02:51.563953	done	2020-08-24 16:11:13.501384
cbk_zam	Chavacano	PH	0:00:01.722642	done	2020-08-24 16:11:15.407482
cbk_zam	Chavacano		0:00:01.731592	done	2020-08-24 16:11:17.141343
cdo	Min Dong	CN	0:00:02.989079	done	2020-08-24 16:11:20.184798
cdo	Min Dong		0:00:02.974805	done	2020-08-24 16:11:23.161636
ce	Chechen	RU	0:00:09.739491	done	2020-08-24 16:11:34.162161
ce	Chechen		0:00:09.860974	done	2020-08-24 16:11:44.025340
ceb	Cebuano	PH	0:02:46.951605	done	2020-08-24 16:15:01.758916
ceb	Cebuano		0:02:55.980772	done	2020-08-24 16:17:57.742661
ch	Chamorro	GU	0:00:00.630019	done	2020-08-24 16:18:00.366879
ch	Chamorro	MP	0:00:00.648392	done	2020-08-24 16:18:01.017798
ch	Chamorro		0:00:00.675461	done	2020-08-24 16:18:01.695760
cho	Choctaw	US	0:00:00.644594	done	2020-08-24 16:18:02.359387
cho	Choctaw		0:00:00.627173	done	2020-08-24 16:18:02.989147
chr	Cherokee	US	0:00:03.457885	done	2020-08-24 16:18:06.467103
chr	Cherokee		0:00:03.743546	done	2020-08-24 16:18:10.212911
chy	Cheyenne	US	0:00:00.640034	done	2020-08-24 16:18:10.873192
chy	Cheyenne		0:00:01.182478	done	2020-08-24 16:18:12.057897
ckb	Central Kurdish	IR	0:00:03.977589	done	2020-08-24 16:18:16.146524
ckb	Central Kurdish	IQ	0:00:05.786839	done	2020-08-24 16:18:21.935648
ckb	Central Kurdish		0:00:06.690986	done	2020-08-24 16:18:28.629399
co	Corsican	IT	0:00:01.636777	done	2020-08-24 16:18:30.310477
co	Corsican	FR	0:00:04.087604	done	2020-08-24 16:18:34.401126
co	Corsican		0:00:04.416318	done	2020-08-24 16:18:38.819567
cr	Cree	CA	0:00:01.357983	done	2020-08-24 16:18:40.196342
cr	Cree		0:00:01.374772	done	2020-08-24 16:18:41.573393
crh	Crimean Tatar	UA	0:00:01.602136	done	2020-08-24 16:18:43.208849
crh	Crimean Tatar		0:00:01.696770	done	2020-08-24 16:18:44.907747
cs	Czech	CZ	0:02:08.426153	done	2020-08-24 16:20:55.777548
cs	Czech		0:02:17.562445	done	2020-08-24 16:23:13.342119
csb	Kashubian	PL	0:00:05.058762	done	2020-08-24 16:23:18.610228
csb	Kashubian		0:00:05.058504	done	2020-08-24 16:23:23.671540
cu	Old Church Slavonic	RU	0:00:01.629269	done	2020-08-24 16:23:25.325056
cu	Old Church Slavonic		0:00:01.826130	done	2020-08-24 16:23:27.153539
cv	Chuvash	RU	0:00:06.433056	done	2020-08-24 16:23:33.750397
cv	Chuvash		0:00:06.447015	done	2020-08-24 16:23:40.200537
cy	Welsh	GB	0:00:20.546196	done	2020-08-24 16:24:01.235156
cy	Welsh		0:00:24.862807	done	2020-08-24 16:24:26.100850
da	Danish	FO	0:00:09.447542	done	2020-08-24 16:24:36.825612
da	Danish	GL	0:00:08.844161	done	2020-08-24 16:24:45.672821
da	Danish	DK	0:01:34.952753	done	2020-08-24 16:26:20.627611
da	Danish	DE	0:00:11.863132	done	2020-08-24 16:26:32.493263
da	Danish		0:01:44.595745	done	2020-08-24 16:28:17.091087
de	German	LU	0:01:15.729920	done	2020-08-24 16:29:46.861190
de	German	CZ	0:01:03.309126	done	2020-08-24 16:30:50.172538
de	German	AT	0:03:12.941017	done	2020-08-24 16:34:03.116428
de	German	IT	0:01:20.237200	done	2020-08-24 16:35:23.356346
de	German	PL	0:01:16.120035	done	2020-08-24 16:36:39.478606
de	German	LI	0:01:15.380227	done	2020-08-24 16:37:54.861028
de	German	DE	0:17:08.985170	done	2020-08-24 16:55:03.848996
de	German	CH	0:02:37.933349	done	2020-08-24 16:57:41.786433
de	German		0:21:31.085144	done	2020-08-24 17:19:12.874515
din	Dinka	SS	0:00:02.041295	done	2020-08-24 17:19:15.751588
din	Dinka		0:00:01.459417	done	2020-08-24 17:19:17.213431
diq	Zazaki	TR	0:00:05.381366	done	2020-08-24 17:19:22.686485
diq	Zazaki		0:00:06.271267	done	2020-08-24 17:19:28.960378
dsb	Lower Sorbian	DE	0:00:01.903895	done	2020-08-24 17:19:30.892940
dsb	Lower Sorbian		0:00:02.110806	done	2020-08-24 17:19:33.006037
dty	Doteli language	NP	0:00:01.524005	done	2020-08-24 17:19:34.557575
dty	Doteli language		0:00:01.683121	done	2020-08-24 17:19:36.242760
dv	Maldivian	MV	0:00:02.686321	done	2020-08-24 17:19:38.955548
dv	Maldivian	IN	0:00:01.285514	done	2020-08-24 17:19:40.243116
dv	Maldivian		0:00:02.781837	done	2020-08-24 17:19:43.027064
dz	Dzongkha	BT	0:00:01.584874	done	2020-08-24 17:19:44.631520
dz	Dzongkha	IN	0:00:00.629815	done	2020-08-24 17:19:45.263409
dz	Dzongkha		0:00:01.613125	done	2020-08-24 17:19:46.878633
ee	Ewe	GH	0:00:01.256686	done	2020-08-24 17:19:48.153941
ee	Ewe	TG	0:00:01.395694	done	2020-08-24 17:19:49.551650
ee	Ewe		0:00:01.423850	done	2020-08-24 17:19:50.977579
el	Greek	CY	0:00:10.588320	done	2020-08-24 17:20:02.521580
el	Greek	AL	0:00:08.065428	done	2020-08-24 17:20:10.589631
el	Greek	GR	0:00:55.750278	done	2020-08-24 17:21:06.342357
el	Greek		0:00:55.164000	done	2020-08-24 17:22:01.508409
eml	Emilian-Romagnol	IT	0:00:03.491801	done	2020-08-24 17:22:05.087502
eml	Emilian-Romagnol		0:00:04.138988	done	2020-08-24 17:22:09.228678
en	English	CA	0:06:46.522500	done	2020-08-24 17:29:33.638436
en	English	GI	0:03:44.441704	done	2020-08-24 17:33:18.083910
en	English	KE	0:03:46.974582	done	2020-08-24 17:37:05.062521
en	English	LC	0:03:20.621744	done	2020-08-24 17:40:25.687729
en	English	NF	0:02:38.400409	done	2020-08-24 17:43:04.090522
en	English	VG	0:02:49.073349	done	2020-08-24 17:45:53.166275
en	English	BQ	0:02:13.281716	done	2020-08-24 17:48:06.450257
en	English	GY	0:03:02.648365	done	2020-08-24 17:51:09.102327
en	English	SC	0:02:59.845326	done	2020-08-24 17:54:08.951017
en	English	KY	0:03:00.801227	done	2020-08-24 17:57:09.754568
en	English	BN	0:03:23.034685	done	2020-08-24 18:00:32.792380
en	English	GU	0:03:17.738186	done	2020-08-24 18:03:50.533369
en	English	VC	0:03:23.304024	done	2020-08-24 18:07:13.840337
en	English	BZ	0:03:39.184926	done	2020-08-24 18:10:53.028183
en	English	SL	0:03:16.879224	done	2020-08-24 18:14:09.910138
en	English	NZ	0:04:02.266748	done	2020-08-24 18:18:12.179273
en	English	CM	0:02:12.312946	done	2020-08-24 18:20:24.495174
en	English	BB	0:03:28.342032	done	2020-08-24 18:23:52.841630
en	English	FM	0:02:57.516322	done	2020-08-24 18:26:50.360488
en	English	WS	0:03:19.259463	done	2020-08-24 18:30:09.623478
en	English	ZM	0:03:15.062592	done	2020-08-24 18:33:24.690056
en	English	IN	0:07:02.296944	done	2020-08-24 18:40:26.989844
en	English	KN	0:03:23.853671	done	2020-08-24 18:43:50.847110
en	English	CK	0:03:04.837851	done	2020-08-24 18:46:55.687367
en	English	SB	0:03:15.119626	done	2020-08-24 18:50:10.810503
en	English	US	0:30:49.151718	done	2020-08-24 19:20:59.965219
en	English	GG	0:03:17.420218	done	2020-08-24 19:24:17.390391
en	English	HK	0:03:45.660701	done	2020-08-24 19:28:03.053453
en	English	AS	0:02:46.890506	done	2020-08-24 19:30:49.946855
en	English	MS	0:02:42.975745	done	2020-08-24 19:33:32.925477
en	English	DM	0:03:11.235055	done	2020-08-24 19:36:44.162731
en	English	GH	0:03:53.601312	done	2020-08-24 19:40:37.766963
en	English	MH	0:02:46.545192	done	2020-08-24 19:43:24.315177
en	English	LS	0:03:29.904080	done	2020-08-24 19:46:54.221851
en	English	SS	0:03:16.707636	done	2020-08-24 19:50:10.931833
en	English	LR	0:03:32.755563	done	2020-08-24 19:53:43.690350
en	English	SZ	0:03:07.158549	done	2020-08-24 19:56:50.852051
en	English	GB	0:11:55.165782	done	2020-08-24 20:08:46.020621
en	English	IO	0:00:45.672909	done	2020-08-24 20:09:31.697727
en	English	JM	0:03:32.696535	done	2020-08-24 20:13:04.398070
en	English	TV	0:03:07.558372	done	2020-08-24 20:16:11.959251
en	English	TK	0:02:51.278637	done	2020-08-24 20:19:03.240965
en	English	NR	0:03:00.783283	done	2020-08-24 20:22:04.028212
en	English	MU	0:03:28.514673	done	2020-08-24 20:25:32.545951
en	English	AI	0:03:00.227765	done	2020-08-24 20:28:32.776727
en	English	PH	0:04:22.972552	done	2020-08-24 20:32:55.751696
en	English	SG	0:03:54.069305	done	2020-08-24 20:36:49.823883
en	English	MT	0:03:43.921443	done	2020-08-24 20:40:33.747976
en	English	ZA	0:03:53.543956	done	2020-08-24 20:44:27.294589
en	English	ZW	0:03:39.023633	done	2020-08-24 20:48:06.321267
en	English	GM	0:03:40.173402	done	2020-08-24 20:51:46.498396
en	English	PR	0:03:48.597565	done	2020-08-24 20:55:35.098806
en	English	BW	0:03:22.419679	done	2020-08-24 20:58:57.521001
en	English	SX	0:02:42.461273	done	2020-08-24 21:01:39.985127
en	English	TT	0:03:12.752766	done	2020-08-24 21:04:52.741288
en	English	KI	0:03:08.828291	done	2020-08-24 21:08:01.572126
en	English	UG	0:03:30.995465	done	2020-08-24 21:11:32.570027
en	English	AU	0:06:32.835163	done	2020-08-24 21:18:05.407847
en	English	FJ	0:03:35.762281	done	2020-08-24 21:21:41.174275
en	English	NA	0:03:37.537796	done	2020-08-24 21:25:18.714843
en	English	MW	0:03:14.059898	done	2020-08-24 21:28:32.777550
en	English	PG	0:03:18.167182	done	2020-08-24 21:31:50.947908
en	English	IM	0:03:04.409307	done	2020-08-24 21:34:55.360021
en	English	VU	0:03:26.497356	done	2020-08-24 21:38:21.860573
en	English	GD	0:03:22.086486	done	2020-08-24 21:41:43.949612
en	English	BS	0:03:35.143664	done	2020-08-24 21:45:19.095610
en	English	MP	0:02:37.359225	done	2020-08-24 21:47:56.458265
en	English	MY	0:04:18.206252	done	2020-08-24 21:52:14.668181
en	English	IE	0:04:27.479574	done	2020-08-24 21:56:42.152129
en	English	TO	0:03:15.626178	done	2020-08-24 21:59:57.780927
en	English	PW	0:03:03.797818	done	2020-08-24 22:03:01.581940
en	English	PK	0:03:54.701913	done	2020-08-24 22:06:56.286599
en	English	RW	0:03:38.821789	done	2020-08-24 22:10:35.111021
en	English	VI	0:02:52.189332	done	2020-08-24 22:13:27.302803
en	English	NU	0:02:56.495735	done	2020-08-24 22:16:23.801307
en	English	AG	0:03:30.515148	done	2020-08-24 22:19:54.319793
en	English	NG	0:03:43.171443	done	2020-08-24 22:23:37.494319
en	English	TC	0:03:07.390723	done	2020-08-24 22:26:44.888131
en	English	SD	0:03:09.161834	done	2020-08-24 22:29:54.052724
en	English	PN	0:02:48.697561	done	2020-08-24 22:32:42.752845
en	English	BM	0:03:22.777651	done	2020-08-24 22:36:05.533168
en	English	JE	0:03:11.276289	done	2020-08-24 22:39:16.812042
en	English		1:01:02.985365	done	2020-08-24 23:40:19.800368
es	Spanish	GI	0:00:39.107577	done	2020-08-24 23:41:13.516718
es	Spanish	CO	0:01:14.863827	done	2020-08-24 23:42:28.383373
es	Spanish	CU	0:01:00.883887	done	2020-08-24 23:43:29.269828
es	Spanish	PE	0:01:07.290866	done	2020-08-24 23:44:36.563233
es	Spanish	UY	0:01:02.617858	done	2020-08-24 23:45:39.183494
es	Spanish	HN	0:00:57.622072	done	2020-08-24 23:46:36.808014
es	Spanish	EC	0:00:57.649792	done	2020-08-24 23:47:34.460554
es	Spanish	ES	0:04:47.130647	done	2020-08-24 23:52:21.595085
es	Spanish	BO	0:00:56.510427	done	2020-08-24 23:53:18.108251
es	Spanish	AR	0:02:02.136530	done	2020-08-24 23:55:20.247386
es	Spanish	CL	0:01:16.971863	done	2020-08-24 23:56:37.222388
es	Spanish	PA	0:00:59.268887	done	2020-08-24 23:57:36.494077
es	Spanish	PR	0:00:52.364783	done	2020-08-24 23:58:28.861092
es	Spanish	CR	0:00:57.690437	done	2020-08-24 23:59:26.554675
es	Spanish	MX	0:01:52.764389	done	2020-08-25 00:01:19.321552
es	Spanish	VE	0:01:19.094967	done	2020-08-25 00:02:38.419598
es	Spanish	SV	0:00:59.880599	done	2020-08-25 00:03:38.302930
es	Spanish	GT	0:00:55.836971	done	2020-08-25 00:04:34.142745
es	Spanish	DO	0:00:57.196637	done	2020-08-25 00:05:31.342188
es	Spanish	PY	0:00:55.295027	done	2020-08-25 00:06:26.640069
es	Spanish	GQ	0:00:39.839559	done	2020-08-25 00:07:06.483255
es	Spanish	NI	0:00:52.855566	done	2020-08-25 00:07:59.341227
es	Spanish		0:09:44.453383	done	2020-08-25 00:17:43.796917
et	Estonian	EE	0:00:47.192844	done	2020-08-25 00:18:32.839939
et	Estonian		0:00:49.404165	done	2020-08-25 00:19:22.246656
eu	Basque	ES	0:00:27.029931	done	2020-08-25 00:19:51.019375
eu	Basque		0:00:34.120569	done	2020-08-25 00:20:25.142925
ext	Extremaduran	ES	0:00:02.618643	done	2020-08-25 00:20:27.867951
ext	Extremaduran		0:00:02.897293	done	2020-08-25 00:20:30.767342
fa	Persian	IR	0:02:41.769377	done	2020-08-25 00:23:16.361040
fa	Persian	AF	0:00:23.318969	done	2020-08-25 00:23:39.683069
fa	Persian		0:02:52.102894	done	2020-08-25 00:26:31.788457
ff	Fula	TD	0:00:00.669256	done	2020-08-25 00:26:32.677256
ff	Fula	GN	0:00:01.377418	done	2020-08-25 00:26:34.056903
ff	Fula	SN	0:00:01.338360	done	2020-08-25 00:26:35.397480
ff	Fula	ML	0:00:01.287624	done	2020-08-25 00:26:36.687437
ff	Fula	NE	0:00:01.197851	done	2020-08-25 00:26:37.887566
ff	Fula	GM	0:00:00.620969	done	2020-08-25 00:26:38.510854
ff	Fula	GW	0:00:00.622120	done	2020-08-25 00:26:39.135185
ff	Fula	MR	0:00:00.622144	done	2020-08-25 00:26:39.759555
ff	Fula	BF	0:00:00.626544	done	2020-08-25 00:26:40.388480
ff	Fula	NG	0:00:00.624497	done	2020-08-25 00:26:41.015126
ff	Fula	BJ	0:00:01.202193	done	2020-08-25 00:26:42.219663
ff	Fula	CM	0:00:01.418360	done	2020-08-25 00:26:43.641066
ff	Fula		0:00:01.653371	done	2020-08-25 00:26:45.297123
fi	Finnish	RU	0:00:14.361371	done	2020-08-25 00:27:01.931635
fi	Finnish	FI	0:02:08.381259	done	2020-08-25 00:29:10.315965
fi	Finnish	SE	0:00:19.553346	done	2020-08-25 00:29:29.872570
fi	Finnish		0:02:02.064861	done	2020-08-25 00:31:31.939864
fiu_vro	Võro	EE	0:00:03.615917	done	2020-08-25 00:31:35.701167
fiu_vro	Võro		0:00:03.888139	done	2020-08-25 00:31:39.591705
fj	Fijian	FJ	0:00:01.768059	done	2020-08-25 00:31:41.386140
fj	Fijian		0:00:01.928041	done	2020-08-25 00:31:43.316651
fo	Faroese	FO	0:00:06.286297	done	2020-08-25 00:31:49.674185
fo	Faroese		0:00:05.955528	done	2020-08-25 00:31:55.633668
fr	French	LU	0:01:13.930422	done	2020-08-25 00:33:25.477305
fr	French	CA	0:01:39.032744	done	2020-08-25 00:35:04.512894
fr	French	KM	0:01:04.559141	done	2020-08-25 00:36:09.074323
fr	French	GN	0:01:14.813480	done	2020-08-25 00:37:23.892902
fr	French	NC	0:00:59.805704	done	2020-08-25 00:38:23.700843
fr	French	SC	0:00:51.932213	done	2020-08-25 00:39:15.637525
fr	French	NE	0:01:10.719002	done	2020-08-25 00:40:26.359570
fr	French	IT	0:00:14.081899	done	2020-08-25 00:40:40.443773
fr	French	CG	0:01:14.868670	done	2020-08-25 00:41:55.314846
fr	French	GF	0:00:55.543127	done	2020-08-25 00:42:50.860757
fr	French	FR	0:09:43.586925	done	2020-08-25 00:52:34.450028
fr	French	CM	0:01:18.361032	done	2020-08-25 00:53:52.815221
fr	French	MQ	0:00:52.716076	done	2020-08-25 00:54:45.533948
fr	French	PM	0:00:49.683063	done	2020-08-25 00:55:35.219434
fr	French	IN	0:00:45.056951	done	2020-08-25 00:56:20.278700
fr	French	BE	0:01:26.086265	done	2020-08-25 00:57:46.367495
fr	French	MF	0:00:45.416167	done	2020-08-25 00:58:31.786041
fr	French	SN	0:01:16.006153	done	2020-08-25 00:59:47.794772
fr	French	CF	0:01:03.500069	done	2020-08-25 01:00:51.297313
fr	French	HT	0:01:19.782880	done	2020-08-25 01:02:11.082711
fr	French	DJ	0:01:04.535899	done	2020-08-25 01:03:15.622220
fr	French	RE	0:00:54.362962	done	2020-08-25 01:04:09.988703
fr	French	TD	0:01:10.300161	done	2020-08-25 01:05:20.291156
fr	French	ML	0:01:08.399703	done	2020-08-25 01:06:28.693420
fr	French	TG	0:01:06.941009	done	2020-08-25 01:07:35.636788
fr	French	WF	0:00:48.266041	done	2020-08-25 01:08:23.906129
fr	French	BJ	0:01:12.829634	done	2020-08-25 01:09:36.738112
fr	French	PF	0:01:00.557266	done	2020-08-25 01:10:37.298208
fr	French	CD	0:01:09.990343	done	2020-08-25 01:11:47.290905
fr	French	MG	0:01:03.646637	done	2020-08-25 01:12:50.940002
fr	French	CH	0:01:16.311992	done	2020-08-25 01:14:07.254616
fr	French	VU	0:01:01.753455	done	2020-08-25 01:15:09.010930
fr	French	MC	0:01:01.683647	done	2020-08-25 01:16:10.697119
fr	French	RW	0:01:12.873898	done	2020-08-25 01:17:23.573907
fr	French	BF	0:01:14.224009	done	2020-08-25 01:18:37.800635
fr	French	GQ	0:01:03.678550	done	2020-08-25 01:19:41.483195
fr	French	BL	0:00:43.352062	done	2020-08-25 01:20:24.837624
fr	French	GA	0:01:01.567105	done	2020-08-25 01:21:26.407205
fr	French	CI	0:01:24.704524	done	2020-08-25 01:22:51.114198
fr	French	YT	0:00:58.070861	done	2020-08-25 01:23:49.188093
fr	French	GP	0:01:01.044973	done	2020-08-25 01:24:50.235600
fr	French		0:12:42.268127	done	2020-08-25 01:37:32.506216
frp	Franco-Provençal	CH	0:00:01.774839	done	2020-08-25 01:37:35.077495
frp	Franco-Provençal	IT	0:00:01.634795	done	2020-08-25 01:37:36.714454
frp	Franco-Provençal	FR	0:00:03.741084	done	2020-08-25 01:37:40.458321
frp	Franco-Provençal		0:00:03.881463	done	2020-08-25 01:37:44.341567
frr	North Frisian	DE	0:00:03.366659	done	2020-08-25 01:37:47.749440
frr	North Frisian		0:00:03.601476	done	2020-08-25 01:37:51.352990
fur	Friulian	IT	0:00:03.210129	done	2020-08-25 01:37:54.589233
fur	Friulian		0:00:03.807909	done	2020-08-25 01:37:58.399267
fy	West Frisian	NL	0:00:09.966877	done	2020-08-25 01:38:08.559337
fy	West Frisian		0:00:14.075983	done	2020-08-25 01:38:22.637855
ga	Irish	IE	0:00:04.236578	done	2020-08-25 01:38:27.063612
ga	Irish		0:00:05.264286	done	2020-08-25 01:38:32.330249
gag	Gagauz	MD	0:00:01.891932	done	2020-08-25 01:38:34.254647
gag	Gagauz		0:00:01.928784	done	2020-08-25 01:38:36.185787
gan	Gan	CN	0:00:03.856522	done	2020-08-25 01:38:40.074364
gan	Gan		0:00:04.017820	done	2020-08-25 01:38:44.094466
gd	Scottish Gaelic	GB	0:00:04.778535	done	2020-08-25 01:38:48.925744
gd	Scottish Gaelic		0:00:05.122333	done	2020-08-25 01:38:54.050557
gl	Galician	PT	0:00:04.392226	done	2020-08-25 01:38:59.175580
gl	Galician	ES	0:00:44.188670	done	2020-08-25 01:39:43.367494
gl	Galician		0:00:43.034900	done	2020-08-25 01:40:26.405243
glk	Gilaki	IR	0:00:02.458149	done	2020-08-25 01:40:28.923791
glk	Gilaki		0:00:02.633186	done	2020-08-25 01:40:31.559074
gn	Guarani	BR	0:00:01.504899	done	2020-08-25 01:40:33.090278
gn	Guarani	BO	0:00:00.656100	done	2020-08-25 01:40:33.748571
gn	Guarani	AR	0:00:01.372690	done	2020-08-25 01:40:35.123627
gn	Guarani	PY	0:00:03.362854	done	2020-08-25 01:40:38.488952
gn	Guarani		0:00:03.529492	done	2020-08-25 01:40:42.020309
